piyushgoyal, Piyush Goyal
officeofrg, Rahul Kejriwal
arvindkejriwal,Arvind
NarendraModi, Narendra Modi
abhishekaitc,Abhishek Banerjee
adsulanandrao,Anandrao Adsul
AGSawant,Arvind Sawant
AlokSanjar_mp,Alok Sanjar
AnanthKumar_BJP,Ananth Kumar
AnilShiroleBJP,Anil Shirole
AntoAntonyMP1,Anto Antony
AppaBarne,Shrirang Appa Barne
arjunrammeghwal,Arjun Ram Meghwal
asadowaisi,Asaduddin Owaisi
AshwiniKChoubey,Ashwini Kumar Choubey
atnanapatilmp,A.T. Nana Patil
BadruddinAjmal,Badruddin Ajmal
balkasumantrsv,Balka Suman
BandaruDattatry,Bandaru Dattatreya
bhagwantkhuba,Bhagwanth Khuba
bhagwantmann,Bhagwant Mann
BJPRajnathSingh,Rajnath Singh
bjpramkripal,Ram Kripal Yadav
bmajhimp,Balabhadra Majhi
BNChandrappa,B.N. Chandrappa
BSKoshyari,Bhagat Singh Koshyari
bsp_mp,Lakhan Lal Sahu
ButtaRenukaMP,Butta Renuka
capt_amarinder,Amarinder Singh
CGAbhishekSingh,Abhishek Singh
cmnagaland,Neiphiu Rio
CRPaatil,C. R. Patil
daddanmishra,Daddan Mishra
Dchautala,Dushyant Chautala
DeependerSHooda,Deepender Singh Hooda
DevjiPatel92,Devji Patel
DharambirBJP,Dharambir
DimpleYadav10,Dimple Yadav
DinTri,Dinesh Trivedi
dr_maheshsharma,Mahesh Sharma
dr_satyapal,Satya Pal Singh
Dr_Uditraj,Udit Raj
draramadoss,Anbumani Ramadoss
DrAshwani_Kumar,Ashwini Kumar
drbholasingh,Dr Bhola Singh
dreamgirlhema,Hema Malini
drharshvardhan,Harsh Vardhan
drmmjoshibjp,Murli Manohar Joshi
DrSanghamita,Mamtaz Sanghamita
DushyantDholpur,Dushyant Singh
dvgandhi1951,Dharam Vira Gandhi
DVSBJP,D.V. Sadananda Gowda
ET_MohdBasheer,E. T. Mohammed Basheer
faizalpp786,P.P. Mohammed Faizal
G_Ganga_Raju,Gokaraju Ganga Raju
GauravGogoiAsm,Gourav Gogoi
Gen_VKSingh,Vijay Kumar Singh
ghosarpita,Arpita Ghosh
girirajsinghbjp,Giriraj Singh
ianuragthakur,Anurag Singh Thakur
idevadhikari,Adhikari Deepak (Dev)
Ilkadvani,Lal Krishna Advani
irvpaswan,Ram Vilas Paswan
itariqanwar,Tariq Anwar
jayantsinha,Jayant Sinha
Jithenderredd10,A.P. Jithender Reddy
josekmani,Jose K. Mani
KalrajMishra,Kalraj Mishra
KamalNath_,Kamal Nath
katariabjp,Rattan Lal Kataria
KCVenugopal_INC,K. C. Venugopal
KirenRijiju,Kiren Rijiju
KiritSomaiya,Kirit Somaiya
KirronKherBJP,Kirron Anupam Kher
kkdmpnarasimham,Thota Narasimham
kn_ramachandran,K.N. Ramachandran
kothapalli009,Kothapalli Geetha
kpgurjarbjp,Krishan Pal
kpmaurya1,Keshav Prasad Maurya
kunwarsarvesh,Kunwer Sarvesh Kumar
lallusingh_fzd,Lallu Singh
M_Lekhi,Meenakashi Lekhi
MaheishGirri,Maheish Girri
MallikarjunINC,Mallikarjun Kharge
Manekagandhibjp,Maneka Gandhi
manojsinhabjp,Manoj Sinha
ManojTiwariBjp,Manoj Tiwari
mansukhbhai_mos,Mansukhbhai D. Vasava
MehboobaMufti,Mehbooba Mufti
mepratap,Prathap Simha
midhunreddy2013,P.V. Midhun Reddy
MpDayal,Vishnu Dayal Ram
MPKalyanB,Kalyan Banerjee
MpTarai,Rita Tarai
nalinkkateel,Nalin Kumar Kateel
narendramodi,Narendra Modi
narsaiahbura,Boora Narsaiah Goud
NJGadkari,Nitin Jairam Gadkari
nstomarminister,Narendra Singh Tomar
officeofhkbadal,Harsimrat Kaur Badal
OfficeOfRG,Rahul Gandhi
p_sahibsingh,Parvesh Sahib Singh Verma
PalJagdambika,Jai Prakash Narayan Yadav
PandaJay,Baijayant Jay Panda
PonnaarrBJP,P. Radhakrishnan
poonam_mahajan,Poonam Mahajan Alias Poonam Vajendla Rao
PremDasRai,Prem Das Rai
priyankaMP_BBK,Priyanka Singh Rawat
prof_sadhu,Sadhu Singh
R_Lakhanpal,Raghav Lakhanpal
RadhamohanBJP,Radha Mohan Singh
RahulKaswanMP,Rahul Kaswan
RajivPratapRudy,Rajiv Pratap Rudy
rajushetti,Raju Shetti
RamcharanBohra,Ramcharan Bohara
rameshbidhuri,Ramesh Bidhuri
ranjeet_inc,Ranjeet Ranjan
Rao_InderjitS,Inderjit Singh Rao
RaoKavitha,Kalvakuntla Kavitha
raosahebdanve,Raosaheb Patil Danve
RavneetBittu,Ravneet Singh
renukasinha1977,Renuka Sinha
RitiSidhi,Riti Pathak
RodmalNagar,Rodmal Nagar
salimdotcomrade,Md. Salim
SantoshSAhlawat,Santosh Ahlawat
sarbanandsonwal,Sarbananda Sonowal
SathyabamaVasu,V. Sathyabama
ShashiTharoor,Shashi Tharoor
shewale_rahul,Rahul Ramesh Shewale
ShobhaBJP,Shobha Karandlaje
SirajuddinAjmal,Siraj Uddin Ajmal
SirPareshRawal,Paresh Rawal
sudipAITMC,Sudip Bandyopadhyay
supriya_sule,Supriya Sule
SushilSinghMP,Sushil Kumar Singh
SushmaSwaraj,Sushma Swaraj
sushmitadevmp,Sushmita Dev
Suvenduadhikari,Suvendu Adhikari
tariqkarra,Tariq Hameed Karra
tweetanupam,Anupam Hazra
UK4Bihar,Upendra Kushwaha
vijay_sampla,Vijay Sampla
vincentpala,Vincent H Pala
vinodchavda31,Chavda Vinod Lakhamashi
VinodKhanna,Vinod Khanna
virendrasnghBJP,Virendra Singh
vishnudsai,Vishnu Deo Sai
VishweshwarRed1,Konda Vishweshwar Reddy
yadavteju,Tej Pratap Singh Yadav
yellaiahnandi,Yellaiah Nandi
yvsubbareddymp,Y.V. Subba Reddy
andamanmp,Bishnu Pada Ray
BSYBJP,B. S. Yeddyurappa
d_k_suresh,D.K. Suresh
KadiyamSrihari,Kadiyam Srihari
MOS_ruraldev,Sudarshan Bhagat
varungandhi80,Feroze Varun Gandhi
yogi_adityanath,Yogi Adityanath
DrKumarVishwas,Dr. Kumar Vishvas
LambaAlka,Alka Lamba
asadowaisi,Asaduddin Owaisi
KunalKumarGhosh,Kunal Ghosh
DinTri,Dinesh Trivedi
bosesrinjoy,Srinjoy Bose
destinationabhi,Abhishek Banerjee
MPKalyanB,Kalyan Banerjee
AITCofficial,AITC
quizderek,Derek O'Brien
Panda_Jay,Baijayant Jay Panda
arunjaitley,Arun Jaitley
Ra_THORe,Rajyavardhan Rathore
ianuragthakur,Anurag Thakur
PMuralidharRao,P Muralidhar Rao
DrChandanMitra,Dr. Chandan Mitra
Gen_VKSingh,Vijay Kumar Singh
BJP_Gujarat,BJP Gujarat
BJPDelhiState,BJP Delhi
minhazmerchant,Minhaz Merchant
yogrishiramdev,Swami Ramdev
Swamy39,Subramanian Swamy
AnupamPkher,Anupam Kher
KirtiAzadMP,Kirti Azad
buzzindelhi,Arvind Gupta
M_Lekhi,Meenakashi Lekhi
naqvimukhtar,Mukhtar Abbas Naqvi
RajivPratapRudy,Rajiv Pratap Rudy
CaptAbhimanyu,Captain Abhimanyu
drharshvardhan,Dr. Harsh Vardhan
Madhukeshwar,Madhukeshwar Desai
KanchanGupta,Kanchan Gupta
ShahnawazBJP,Shahnawaz Hussain
varungandhi80,Varun Gandhi
nsitharaman,Nirmala Sitharaman
PrakashJavdekar,Prakash Javadekar
smritiirani,Smriti Z Irani
SudhanshuTrived,Dr Sudhanshu Trivedi
BJP4India,BJP
v_shrivsatish,V Satish
Dev_Fadnavis,Devendra Fadnavis
kishanreddybjp,"G Kishan Reddy, MLA"
poonam_mahajan,Poonam Mahajan
DushyantDholpur,Dushyant Singh
VijayGoelBJP,Vijay Goel
BJPRajnathSingh,Rajnath Singh
ChouhanShivraj,ShivrajSingh Chouhan
VasundharaBJP,Vasundhara Raj
manoharparrikar,Manohar Parrikar
SushilModi,Sushil Kumar Modi
offstumped,Shashi Shekhar
anupamtr,Anupam Trivedi
paritosh2608,Paritosh Vyas
SushmaSwarajbjp,Sushma Swaraj
CTRavi_BJP,C.T.Ravi
aniljaindr,Dr.Anil Jain
JagadishShettar,Jagadish Shettar
JayshreebenPate,Jayshreeben Patel
sherryontopp,Navjot Singh Sidhu
nitingadkari,Nitin Gadkari
PMuralidharRao,P Muralidhar Rao
PiyushGoyalBJP,Piyush Goyal
poonam_mahajan,Poonam Mahajan
prodyut4assam,Prodyut Bora
sanjay_kaul,Sanjay Kaul
SarojPandeyBJP,Saroj Pandey
drtamilisaibjp,Tamilisai Soundrajan
tarunvijay,Tarun Vijay
VijayRupani1,Vijay Rupani
sanghaviharsh,MLA Harsh R Sanghavi
thekiranbedi,Kiran Bedi
kavita_krishnan,Kavita Krishnan
KapilSibal,Kapil Sibal
Pawankhera,Pawan Khera
MPNaveenJindal,Naveen Jindal
digvijaya_28,digvijaya singh
Pallamrajumm,Pallam Raju
SinghRPN,RPN Singh
tarun_gogoi,Tarun Gogoi
tehseenp,Tehseen Poonawalla
ShashiTharoor,Shashi Tharoor
krishnabgowda,Krishna Byre Gowda
TheVijayMallya,Vijay Mallya
suhelseth,SUHEL SETH
NandanNilekani,Nandan Nilekani
pitrodasam,Sam Pitroda
chalil,Dilip Chalil
arjunmodhwadia,Arjun Modhwadia
sanjaynirupam,Sanjay nirupam
INCIndia,INC India
divyaspandana,Divya Spandana/Ramya
drcpjoshi,Dr. C.P. Joshi
Ahmad_Shakeel,Shakeel Ahmad
DeependerSHooda,Deepender S Hooda
ajaymaken,Ajay Maken
Javedakhtarjadu,Javed Akhtar
sachin_rt,sachin tendulkar
ShuklaRajiv,Rajeev Shukla
ManishTewari,Manish Tewari
PriyaDutt_MP,Priya Dutt
milinddeora,Milind Deora
Sanjay Jha,@JhaSanjay
DrAMSinghvi,Abhishek Singhvi
mpHamdulla,Hamdullah Sayeed
JassiKhangura,Jassi Khangura
mavahid,MA Vahid
anilkshastri,Anil Shastri
ShuklaRajiv,Rajeev Shukla
RajuPNair,Raju P. Nair
sanjaynirupam,Sanjay Nirupam ‏
mpazhar,mohammed azharuddin
rajeev_mp,Rajeev Chandrasekhar
DrAjaySChautal,AJAY SINGH CHAUTALA
Thesharadyadav,SHARAD YADAV
KDSingh_India,KD SINGH
JP_LOKSATTA,Jayaprakash Narayan
VinitaDeshmukh,Vinita Deshmukh
abdullah_omar,Omar Abdullah
supriyassule,Supriya Sule
Pawar_Sharad,Sharad Pawar
MDPai05,Mohandas Pai
PankajPachauri,Pankaj Pachauri
PritishNandy,Pritish Nandy
AUThackeray,Aaditya Thackeray
yadavakhilesh,Akhilesh Yadav
ncbn,N Chandrababu Naidu
YSJMREDDY,Y S JaganMohanReddy
cpimlliberation,CPI-ML Liberation
naralokesh,TDP
BabaSiddique,Baba Siddique
sachin_inc,Sachin Sawant
AnanthKumar_BJP,Ananthkumar
anandibenpatel,Smt. Anandiben Patel
ArvindKejriwal,Shri Arvind Kejriwal
ChouhanShivraj,Shri Shivraj Singh Chouhan
CMofKarnataka,Shri Siddaramaiah
dasraghubar,Shri Raghubar Das
Dev_Fadnavis,Shri Devendra Fadnavis
drramansingh,Dr. Raman Singh
harishrawatcmuk,Shri Harish Rawat
MamataOfficial,Km. Mamata Banerjee
mlkhattar,Shri Manohar Lal
mukulmsangma,Dr. Mukul Sangma
NabamtukiCM,Shri Nabam Tuki
Naveen_Odisha,Shri Naveen Patnaik
ncbn,Shri. Nara Chandrababu Naidu
NitishKumar,Shri Nitish Kumar
officeofssbadal,Shri Parkash Singh Badal
Oommen_Chandy,Mr Oommen Chandy
ParsekarL,Shri Laxmikant Parsekar
tarun_gogoi,Shri Tarun Gogoi
TelanganaCMO,Shri K Chandrasekhar Rao
virbhadrasingh,Shri Virbhadra Singh
yadavakhilesh,Shri Akhilesh Yadav